animal_id,sex,age,date,svl,tail-length,body-mass,feeding
37A,female,NA,3/21/06,28,35.1,833,none
37A,female,NA,5/15/08,29.5,38.1,1005,none
37A,female,NA,7/16/08,30.5,37.9,1006,none
37A,female,NA,5/20/11,32,38.5,1020,none
37B,male,NA,5/16/17,31,40.5,1140,none
38A,male,NA,3/21/06,42.7,54.4,2853,none
38A,male,NA,7/20/06,42,54,2970,none
38A,male,NA,5/20/11,43.9,54.9,3035,none
38A,male,NA,5/8/12,45.5,54.5,3271,none
38A,male,NA,5/20/16,43.5,53,3177,none
38A,male,NA,6/23/16,43.7,53.4,3155,none
38A,male,NA,9/8/16,44,52.3,3580,none
38B,female,NA,5/15/17,19.6,26.8,315,none
39A,female,NA,3/21/06,28,41.3,865,none
39A,female,NA,7/20/06,29.8,42.7,1070,none
39A,female,NA,6/29/07,29.6,43.1,895,none
39A,female,NA,5/15/08,30,43.9,1143,none
39A,female,NA,7/15/08,29.8,43.9,980,none
39A,female,NA,5/22/09,30.8,44,1326,none
39A,female,NA,5/19/10,31.8,43.8,1093,none
39A,female,NA,5/20/11,31.2,44,1115,none
39A,female,NA,5/9/12,31,44.3,1176,none
39A,female,NA,5/20/16,32.1,44.1,1365,none
39A,female,NA,6/23/16,32.5,44.2,1180,none
40A,male,NA,3/22/06,18.7,25.5,265,none
40A,male,NA,7/13/08,25.5,35.3,700,none
40A,male,NA,7/15/08,26,34.9,770,none
40A,male,NA,5/20/11,31.5,40.5,1128,none
40A,male,NA,5/20/16,32.8,42.2,1330,none
40A,male,NA,6/2/18,33.2,41.7,1245,none
40B,female,NA,5/16/17,22.4,29.2,445,none
41A,female,NA,3/22/06,20.7,28.7,341,none
41A,female,NA,5/15/08,25.3,34.3,595,none
43A,female,NA,3/22/06,32,41.8,1255,none
43A,female,NA,6/29/07,32.5,42.8,1330,none
43A,female,NA,5/15/08,33.1,43.7,1370,none
43A,female,NA,7/13/08,32.7,43.4,1225,none
43A,female,NA,5/22/09,33.1,44,1543,none
43A,female,NA,5/20/11,33,44.7,1415,none
43A,female,NA,5/20/16,33,44.5,1325,none
43A,female,NA,5/16/17,33.5,42,1307,none
44A,female,NA,3/22/06,26.7,38,880,none
44A,female,NA,7/15/08,29.8,40.4,1083,none
44A,female,NA,5/20/11,31,42.1,1170,none
44A,female,NA,5/9/12,31.8,42.1,1218,none
