animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
171,982000407478879,F,NA,04-Sep-18,41.3,55.4,2875,high
167,982000409784688,M,NA,04-Sep-18,41.3,58.3,3615,high
3,4139157D1C,F,NA,22-May-12,41.5,63.5,3580,high
42,4B1F3A7368,F,NA,26-May-09,41.5,61.1,4750,high
147,982000409784618,M,NA,24-Apr-18,41.5,57.9,3545,high
87,985121024902908,M,NA,07-Sep-16,41.5,55.9,3290,high
165,982000407478894,M,NA,04-Sep-18,41.5,54.5,3295,high
189,982000407478967,M,NA,04-Sep-18,41.6,55.0,3155,high
22,4B1D6F5A6C,F,NA,13-May-13,41.7,56.3,3235,high
48,4B08375179,M,NA,22-May-10,41.8,60.5,3350,high
193,982126056325387,M,NA,11-Jun-19,41.8,54.7,3180,high
40,4B1D7A3E78,M,NA,25-May-09,42,64.5,3660,high
31,4B211B1468,M,NA,19-May-12,42,58.8,3060,high
46,4B1E217F18,M,NA,27-May-09,42,60.6,3050,high
79,985121024821875,M,NA,04-Sep-18,42.0,56.0,3055,high
185,982000409784726,M,NA,04-Sep-18,42.0,58.3,3870,high
27,4A723E0536,M,NA,29-May-08,42,62.6,3920,high
41,4B17257F7A,F,NA,25-May-09,42.1,58.7,3390,high
136,982000409784628,F,NA,24-Apr-18,42.1,54.9,3470,high
1,4139025D0C,F,NA,11-Nov-98,42.2,57.6,3500,none
126,982000409784665,M,NA,04-Sep-18,42.2,58.8,3060,high
144,982000409784765,M,NA,23-Apr-18,42.2,57.4,4050,high
11,4426097F47,M,NA,24-May-09,42.4,62.6,4480,high
85,985121024808931,M,NA,22-May-12,42.4,60.6,3940,high
90,985121024816119,M,NA,07-Sep-16,42.5,53.2,3280,high
173,982000407478943,M,NA,04-Sep-18,42.5,57.1,3165,high
21,4B2112650C,M,NA,27-May-08,42.6,58.9,3290,high
147,982000409784618,M,NA,04-Sep-18,42.6,57.9,3720,high
34,4B1D657A5F,M,NA,01-Jun-08,42.6,59,3490,high
90,985121024816119,M,NA,24-Apr-18,42.6,55.2,3895,high
42,4B1F3A7368,F,NA,19-Apr-12,42.7,61.1,5230,high
109,989001000105659,M,NA,04-Sep-18,42.7,57.4,4210,high
13,44284C2267,F,NA,18-May-13,42.8,59.8,NA,high
160,982000407478896,M,NA,04-Sep-18,42.8,55.1,3840,high
124,982000409784660,M,NA,07-Sep-16,42.8,54.2,3195,high
1,4139025D0C,F,NA,19-May-12,43.0,57.6,4060,high
125,982000409784573,M,NA,07-Sep-16,43.1,57.6,3845,high
